anomality,sys_enter_llistxattr,sys_enter_setgroups,sys_enter_lremovexattr,sys_enter_sethostname,sys_enter_accept,sys_enter_lseek,sys_enter_setitimer,sys_enter_accept4,sys_enter_lsetxattr,sys_enter_setns,sys_enter_acct,sys_enter_madvise,sys_enter_setpgid,sys_enter_add_key,sys_enter_mbind,sys_enter_setpriority,sys_enter_adjtimex,sys_enter_membarrier,sys_enter_setregid,sys_enter_personality,sys_enter_memfd_create,sys_enter_setresgid,sys_enter_bind,sys_enter_memfd_secret,sys_enter_setresuid,sys_enter_bpf,sys_enter_migrate_pages,sys_enter_setreuid,sys_enter_brk,sys_enter_mincore,sys_enter_setrlimit,sys_enter_capget,sys_enter_mkdirat,sys_enter_setsid,sys_enter_capset,sys_enter_mknodat,sys_enter_setsockopt,sys_enter_chdir,sys_enter_mlock,sys_enter_settimeofday,sys_enter_chroot,sys_enter_mlock2,sys_enter_setuid,sys_enter_clock_adjtime,sys_enter_mlockall,sys_enter_setxattr,sys_enter_clock_getres,sys_enter_mmap,sys_enter_shmat,sys_enter_clock_gettime,sys_enter_mount,sys_enter_shmctl,sys_enter_clock_nanosleep,sys_enter_mount_setattr,sys_enter_shmdt,sys_enter_clock_settime,sys_enter_move_mount,sys_enter_shmget,sys_enter_clone,sys_enter_move_pages,sys_enter_shutdown,sys_enter_clone3,sys_enter_mprotect,sys_enter_sigaltstack,sys_enter_close,sys_enter_mq_getsetattr,sys_enter_signalfd4,sys_enter_close_range,sys_enter_mq_notify,sys_enter_socket,sys_enter_connect,sys_enter_mq_open,sys_enter_socketpair,sys_enter_copy_file_range,sys_enter_mq_timedreceive,sys_enter_splice,sys_enter_delete_module,sys_enter_mq_timedsend,sys_enter_statfs,sys_enter_dup,sys_enter_mq_unlink,sys_enter_statx,sys_enter_dup3,sys_enter_mremap,sys_enter_swapoff,sys_enter_epoll_create1,sys_enter_msgctl,sys_enter_swapon,sys_enter_epoll_ctl,sys_enter_msgget,sys_enter_symlinkat,sys_enter_epoll_pwait,sys_enter_msgrcv,sys_enter_sync,sys_enter_epoll_pwait2,sys_enter_msgsnd,sys_enter_sync_file_range,sys_enter_eventfd2,sys_enter_msync,sys_enter_syncfs,sys_enter_execve,sys_enter_munlock,sys_enter_sysinfo,sys_enter_execveat,sys_enter_munlockall,sys_enter_syslog,sys_enter_exit,sys_enter_munmap,sys_enter_tee,sys_enter_exit_group,sys_enter_name_to_handle_at,sys_enter_tgkill,sys_enter_faccessat,sys_enter_nanosleep,sys_enter_timer_create,sys_enter_faccessat2,sys_enter_newfstat,sys_enter_timer_delete,sys_enter_fadvise64,sys_enter_newfstatat,sys_enter_timer_getoverrun,sys_enter_fallocate,sys_enter_newuname,sys_enter_timer_gettime,sys_enter_fanotify_init,sys_enter_open_by_handle_at,sys_enter_timer_settime,sys_enter_fanotify_mark,sys_enter_open_tree,sys_enter_timerfd_create,sys_enter_fchdir,sys_enter_openat,sys_enter_timerfd_gettime,sys_enter_fchmod,sys_enter_openat2,sys_enter_timerfd_settime,sys_enter_fchmodat,sys_enter_perf_event_open,sys_enter_times,sys_enter_fchown,sys_enter_pidfd_getfd,sys_enter_tkill,sys_enter_fchownat,sys_enter_pidfd_open,sys_enter_truncate,sys_enter_fcntl,sys_enter_pidfd_send_signal,sys_enter_umask,sys_enter_fdatasync,sys_enter_pipe2,sys_enter_umount,sys_enter_fgetxattr,sys_enter_pivot_root,sys_enter_unlinkat,sys_enter_finit_module,sys_enter_ppoll,sys_enter_unshare,sys_enter_flistxattr,sys_enter_prctl,sys_enter_userfaultfd,sys_enter_flock,sys_enter_pread64,sys_enter_utimensat,sys_enter_fremovexattr,sys_enter_preadv,sys_enter_vhangup,sys_enter_fsconfig,sys_enter_preadv2,sys_enter_vmsplice,sys_enter_fsetxattr,sys_enter_prlimit64,sys_enter_wait4,sys_enter_fsmount,sys_enter_process_madvise,sys_enter_waitid,sys_enter_fsopen,sys_enter_process_mrelease,sys_enter_write,sys_enter_fspick,sys_enter_process_vm_readv,sys_enter_writev,sys_enter_fstatfs,sys_enter_process_vm_writev,sys_enter_fsync,sys_enter_pselect6,sys_enter_ftruncate,sys_enter_ptrace,sys_enter_futex,sys_enter_pwrite64,sys_enter_get_mempolicy,sys_enter_pwritev,sys_enter_get_robust_list,sys_enter_pwritev2,sys_enter_getcpu,sys_enter_quotactl,sys_enter_getcwd,sys_enter_quotactl_fd,sys_enter_getdents64,sys_enter_read,sys_enter_getegid,sys_enter_readahead,sys_enter_geteuid,sys_enter_readlinkat,sys_enter_getgid,sys_enter_readv,sys_enter_getgroups,sys_enter_reboot,sys_enter_getitimer,sys_enter_recvfrom,sys_enter_getpeername,sys_enter_recvmmsg,sys_enter_getpgid,sys_enter_recvmsg,sys_enter_getpid,sys_enter_remap_file_pages,sys_enter_getppid,sys_enter_removexattr,sys_enter_getpriority,sys_enter_renameat,sys_enter_getrandom,sys_enter_renameat2,sys_enter_getresgid,sys_enter_request_key,sys_enter_getresuid,sys_enter_restart_syscall,sys_enter_getrlimit,sys_enter_rseq,sys_enter_getrusage,sys_enter_rt_sigaction,sys_enter_getsid,sys_enter_rt_sigpending,sys_enter_getsockname,sys_enter_rt_sigprocmask,sys_enter_getsockopt,sys_enter_rt_sigqueueinfo,sys_enter_gettid,sys_enter_rt_sigreturn,sys_enter_gettimeofday,sys_enter_rt_sigsuspend,sys_enter_getuid,sys_enter_rt_sigtimedwait,sys_enter_getxattr,sys_enter_rt_tgsigqueueinfo,sys_enter_init_module,sys_enter_sched_get_priority_max,sys_enter_inotify_add_watch,sys_enter_sched_get_priority_min,sys_enter_inotify_init1,sys_enter_sched_getaffinity,sys_enter_inotify_rm_watch,sys_enter_sched_getattr,sys_enter_io_cancel,sys_enter_sched_getparam,sys_enter_io_destroy,sys_enter_sched_getscheduler,sys_enter_io_getevents,sys_enter_sched_rr_get_interval,sys_enter_io_pgetevents,sys_enter_sched_setaffinity,sys_enter_io_setup,sys_enter_sched_setattr,sys_enter_io_submit,sys_enter_sched_setparam,sys_enter_io_uring_enter,sys_enter_sched_setscheduler,sys_enter_io_uring_register,sys_enter_sched_yield,sys_enter_io_uring_setup,sys_enter_seccomp,sys_enter_ioctl,sys_enter_semctl,sys_enter_ioprio_get,sys_enter_semget,sys_enter_ioprio_set,sys_enter_semop,sys_enter_kcmp,sys_enter_semtimedop,sys_enter_kexec_file_load,sys_enter_sendfile64,sys_enter_kexec_load,sys_enter_sendmmsg,sys_enter_keyctl,sys_enter_sendmsg,sys_enter_kill,sys_enter_sendto,sys_enter_landlock_add_rule,sys_enter_set_mempolicy,sys_enter_landlock_create_ruleset,sys_enter_set_robust_list,sys_enter_landlock_restrict_self,sys_enter_set_tid_address,sys_enter_lgetxattr,sys_enter_setdomainname,sys_enter_linkat,sys_enter_setfsgid,sys_enter_listen,sys_enter_setfsuid,sys_enter_listxattr,sys_enter_setgid
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1801,0,0,0,0,0,0,0,0,0,86,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,9,0,0,0,0,0,65,0,3,0,0,0,0,0,0,0,6,0,17,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,60,46,0,169,64,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,33,0,0,0,3,0,1,0,0,0,435,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30707,0,0,0,0,0,3602,0,0,0,0,0,0,5422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,21,4,1,0,0,0,530,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,71,0,1,0,1,2,0,0,52363,8,0,0,0,0,0,0,0,0,1,443,0,3,0,0,1796,0,0,0,0,0,48,0,0,0,273,51,53105,0,0,0,0,52319,52305,0,0,0,0,0,0,0,3,0,0,86,0,0,0,4,0,0,105027,0,0,45,0,0,0,0,0,3,0,0,26,0,0,0,0,2,0,78,0,22,0,0,8,3,0,0,244,0,0,1069,0,43,2,0,0,0,0,0,0,4,0,1853,0,1,0,294,1,0,0,0,0,0,0,0,0,95,0,3,0,23,0,0,0,501,0,0,0,0,6,0,0,480,1,0,0,0,0,0,0,0,24,30,0,0,12,0,0,0,0,0,5,0,0,5,54953,461,0,178111,722,0,0,0,0,0,0,6,0,625,0,12,0,27,3,12,0,0,0,0,14,1,0,0,16616,0,0,9,0,0,0,20,0,0,0,0,0,5,20,6,0,0,0,11,0,26,0,394,20,0,0,18,0,2,0,0,0,411,0,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2169,0,0,61952,0,0,0,0,0,3676,0,0,0,0,4,0,6141,0,3,0,0,0,40,0,21,0,0,0,0,1,0,0,0
1,0,0,0,0,0,29,4,1,0,0,0,268,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,64,0,1,0,1,2,0,0,1092138,7,0,0,0,0,0,0,0,0,1,385,0,3,0,0,476,0,0,0,0,0,44,0,0,0,259,49,1090626,0,0,0,0,1092018,1090389,0,0,0,0,0,0,0,0,0,0,76,0,0,0,4,0,0,1046,0,0,220,0,0,0,0,0,3,0,0,20,0,0,0,0,1,2,66,0,16,0,0,8,1,0,0,237,0,0,839,0,218,2,0,0,0,0,0,0,1,0,1599,0,0,0,147,1,0,0,0,0,0,0,0,0,73,0,3,0,21,0,0,0,379,0,0,0,0,6,0,0,1293,0,0,0,0,0,0,0,0,21,23,0,0,11,0,0,0,0,0,5,0,0,4,21160,2158,0,15970,3362,0,0,0,0,0,0,4,0,443,0,6,0,16,6,6,0,0,0,0,9,0,0,0,4882,0,0,7,0,0,0,17,0,0,0,0,0,5,17,2,0,0,0,11,0,5,0,201,15,0,0,7,0,2,0,0,0,78,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18582,0,0,12548,0,0,0,0,0,1113,0,0,0,0,0,0,1624,0,3,0,0,0,35,0,18,0,0,0,0,1,0,0,0
1,0,0,0,0,0,31,0,3,0,0,0,796,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,79,0,1,0,1,3,0,0,52077,11,0,0,0,0,0,0,0,0,1,561,0,3,0,0,1791,0,0,0,0,0,63,0,0,0,588,83,53734,0,0,0,0,52074,52046,0,0,0,0,0,0,0,1,0,0,75,0,0,0,7,0,0,104954,0,0,496,0,0,0,0,0,7,0,0,29,0,0,0,0,2,5,94,0,30,0,0,8,1,0,0,233,0,0,1369,0,40,2,0,0,0,0,0,0,9,0,2867,0,1,0,292,1,0,0,0,0,0,0,0,0,108,0,4,0,25,0,0,0,913,0,0,0,0,6,0,0,470,1,0,0,0,0,0,0,0,26,37,0,0,12,0,0,0,0,0,0,0,0,5,51534,435,0,168537,672,0,0,0,0,0,0,6,0,1041,0,20,0,35,6,20,0,0,0,0,14,1,0,0,6721,0,0,12,0,0,0,22,0,0,0,0,0,5,22,12,0,0,0,21,0,37,0,435,25,0,0,23,0,2,0,0,0,431,0,0,65,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2239,0,0,37586,0,0,0,0,0,3692,0,0,0,0,0,0,6537,0,9,0,0,0,42,0,23,0,0,0,0,1,0,0,0
1,0,0,0,0,0,32,4,3,0,0,0,385,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,77,0,1,0,1,3,0,0,53097,11,0,0,0,0,0,0,0,0,1,511,0,2,0,0,1756,0,0,0,0,0,64,0,0,0,292,85,54528,0,0,0,0,53088,53075,0,0,0,0,0,0,0,7,0,0,63,0,0,0,7,0,0,106900,0,0,188,0,0,0,0,0,3,0,0,29,0,0,0,0,2,1,79,0,25,0,0,8,1,0,0,235,0,0,1318,0,45,2,0,0,0,0,0,0,5,0,2628,0,1,0,288,1,0,0,0,0,0,0,0,0,107,0,4,0,25,0,0,0,813,0,0,0,0,6,0,0,493,2,0,0,0,0,0,0,0,26,33,0,0,12,0,0,0,0,0,5,0,0,7,61433,481,0,207837,740,0,0,0,0,0,0,6,0,939,0,8,0,23,9,8,0,0,0,0,12,3,0,0,15435,0,0,12,0,0,0,22,0,0,0,0,0,5,22,4,0,0,0,23,0,45,0,396,20,0,0,14,0,2,0,0,0,431,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2882,0,0,36701,0,0,0,0,0,3602,0,0,0,0,0,0,5756,0,6,0,0,0,42,0,23,0,0,0,0,1,0,0,0
1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,52644,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,1780,0,0,0,0,0,1,0,0,14,410,30,52407,0,0,0,0,52657,52632,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1,0,0,104371,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,59,0,0,0,0,0,1,0,0,1,0,0,740,0,35,0,0,0,0,0,0,0,4,0,657,0,0,0,298,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43131,405,0,136514,626,0,0,0,0,0,0,0,0,4,0,4,0,4,1,4,0,0,0,0,11,1,0,0,8163,0,0,0,0,0,0,1,0,0,0,0,0,0,15,8,0,0,0,17,0,14,0,345,0,0,0,4,0,0,0,0,0,435,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967,0,0,38068,0,0,0,0,0,3664,0,0,0,0,0,0,7999,0,7,0,0,0,16,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,2,4,1,0,0,0,12,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,52281,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,1780,0,0,0,0,0,1,0,0,14,341,30,52047,0,0,0,0,52300,52270,0,0,0,0,0,0,0,6,0,0,78,0,0,0,1,0,0,103657,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,48,0,0,0,0,0,1,0,0,1,0,0,683,0,37,0,0,0,0,0,0,0,4,0,659,0,0,0,286,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,2,45166,402,0,141960,635,0,0,0,0,0,0,0,0,4,0,2,0,2,2,2,0,0,0,0,11,0,0,0,15413,0,0,0,0,0,0,1,0,0,0,0,0,0,15,10,0,0,0,16,0,17,0,367,0,0,0,5,0,0,0,0,0,435,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,0,37560,0,0,0,0,0,3644,0,0,0,0,0,0,5796,0,7,0,0,0,16,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1877,0,0,0,0,0,1,0,0,1,264,0,685,0,0,0,0,39,16,0,0,0,0,0,0,0,2,0,0,71,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,36,0,0,0,0,0,1,0,0,0,0,0,759,0,5,0,0,0,0,0,0,0,11,0,632,0,1,0,304,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,60,62,0,921,84,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26,0,0,0,0,9,0,0,0,19532,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,4,0,55,0,347,1,0,0,29,0,0,0,0,0,435,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38673,0,0,0,0,0,3820,0,0,0,0,1,0,7166,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0
